,num_thou,UL_Lowest,UL_Second,UL_Third,UL_Fourth,top_5_perc,year
current dolar,84283.00,40000.00,70506.00,109354.00,174001.00,319769.00,2021
current dolar,83723.00,38200.00,67762.00,103912.00,164537.00,306458.00,2020
current dolar,83698.00,40000.00,69000.00,105038.00,164930.00,304153.00,2019
current dolar,83508.00,35864.00,63023.00,96340.00,150117.00,279240.00,2018
current dolar,83539.00,33801.00,60368.00,93508.00,147640.00,272542.00,2017
current dolar,83103.00,33551.00,60032.00,92358.00,145380.00,261508.00,2017
current dolar,82854.00,32400.00,57944.00,89769.00,139568.00,251183.00,2016
current dolar,82199.00,30311.00,55376.00,86310.00,133525.00,239188.00,2015
current dolar,81730.00,29100.00,52697.00,82032.00,129006.00,230030.00,2014
current dolar,82316.00,28840.00,52041.00,80040.00,126343.00,225533.00,2013
current dolar,81217.00,28894.00,50520.00,78000.00,121059.00,217032.00,2013
current dolar,80944.00,27794.00,49788.00,76538.00,119001.00,210000.00,2012
current dolar,80529.00,27218.00,48502.00,75000.00,115866.00,205200.00,2011
current dolar,79559.00,26520.00,48000.00,74000.00,113440.00,200200.00,2010
current dolar,78867.00,26934.00,47914.00,73338.00,112540.00,200000.00,2009
current dolar,78874.00,27800.00,49325.00,75000.00,113205.00,200000.00,2008
current dolar,77908.00,27864.00,49510.00,75000.00,112638.00,197216.00,2007
current dolar,78454.00,27000.00,47000.00,71200.00,109150.00,191060.00,2006
current dolar,77418.00,25616.00,45021.00,68304.00,103100.00,184500.00,2005
current dolar,76866.00,24772.00,43400.00,65818.00,100000.00,173640.00,2004
current dolar,76232.00,24117.00,42057.00,65000.00,98200.00,170082.00,2003
current dolar,75616.00,24000.00,41440.00,63000.00,94469.00,164323.00,2002
current dolar,74340.00,24000.00,41127.00,62500.00,94150.00,164104.00,2001
current dolar,73778.00,24000.00,40840.00,61325.00,91374.00,160120.00,2000
current dolar,73206.00,22796.00,39492.00,59270.00,88033.00,155020.00,1999
current dolar,71551.00,21600.00,37692.00,56020.00,83693.00,145199.00,1998
current dolar,70884.00,20586.00,36000.00,53616.00,80000.00,137080.00,1997
current dolar,70241.00,19680.00,34315.00,51086.00,75316.00,128000.00,1996
current dolar,69597.00,19070.00,32985.00,48985.00,72260.00,123656.00,1995
current dolar,69313.00,17940.00,31300.00,47000.00,69998.00,120043.00,1994
current dolar,68506.00,16970.00,30000.00,45030.00,66794.00,113182.00,1993
current dolar,68216.00,16713.00,29674.00,44000.00,64050.00,106012.00,1992
current dolar,67173.00,17000.00,29111.00,43000.00,62991.00,102824.00,1991
current dolar,66322.00,16846.00,29044.00,42040.00,61490.00,102358.00,1990
current dolar,66090.00,16003.00,28000.00,40800.00,59550.00,98963.00,1989
current dolar,65837.00,15102.00,26182.00,38500.00,55906.00,92001.00,1988
current dolar,65204.00,14598.00,25182.00,36801.00,53330.00,86949.00,1987
current dolar,64491.00,14000.00,24100.00,35120.00,50570.00,83400.00,1986
current dolar,63558.00,13285.00,22886.00,33152.00,48229.00,78965.00,1985
